Recursive Calls,Iterations,Size (bytes),CPU Cycles
6,1,2629,1413393
6,3,4243,1379059
6,5,6053,1388415
6,7,7850,1646061
6,9,9635,1740072
6,11,11409,2355843
6,12,12367,2305258
7,1,2639,1524066
7,3,4532,1440062
7,5,7406,1641770
7,7,11138,1375311
7,9,15884,2595179
7,11,21661,18994405
7,12,24919,6549253
8,1,2564,1369784
8,3,4564,1426263
8,5,6923,1591462
8,7,9291,2465012
8,9,11643,6096808
8,11,14027,16490814
8,12,15163,35561422
9,1,2921,1336224
9,3,5860,1390114
9,5,11148,1815420
9,7,20967,1523375
9,9,39225,32846127
9,11,72466,263811244
9,12,98051,110733646
10,1,2523,1357950
10,3,4946,1386952
10,5,14905,1368620
10,7,56482,1969217
10,9,223606,1997615
10,11,901453,2939258
10,12,1807334,1906224
11,1,2751,1355525
11,3,6927,1413790
11,5,18271,1347357
11,7,44575,1622594
11,9,101567,1364646
11,11,219327,50112815
11,12,318931,1363919
12,1,2865,1355242
12,3,7033,1382970
12,5,21520,1496845
12,7,74133,5217059
12,9,257305,1849415
12,11,890524,4725625
12,12,1650543,2892822
13,12,544165,306458673
